sender_account,amount,sender_country,description,id,timestamp,currency,receiver_account,receiver_country
SE8902SOSH76024453681329,30363.89,Sweden,Mobile recharge,55,2025-03-10 04:18:00,SEK,SE8902GIHV74884246842599,Sweden
SE8902DIGS61927513105237,7394.51,Sweden,Mobile recharge,56,2025-03-19 04:51:00,SEK,SE8902LUGA16653984392162,Sweden
SE8902XJAN35723200835220,1686.61,Sweden,Payment for invoice #8707,57,2025-05-04 13:03:00,SEK,SE8902ENMF86033537014424,Sweden
SE8902FALW17606613401607,24020.80,Sweden,Insurance payout,58,2025-02-28 04:36:00,SEK,SE8902FTIV24633690574571,Sweden
SE8902QIQI47434237190569,39466.66,Sweden,Tax refund,59,2025-03-28 19:22:00,SEK,SE8902NIIB74522467804955,Sweden
SE8902XMSF03346539893576,15851.53,Sweden,Subscription fee,60,2025-04-07 18:33:00,SEK,SE8902SVNA09488395571575,Sweden
SE8902UJGR36411837401781,14233.53,Sweden,Gift to family member,61,2025-04-19 14:04:00,SEK,SE8902MCEV93618355713025,Sweden
SE8902IPMR06918676283049,33828.25,Sweden,Mobile recharge,62,2025-01-14 12:36:00,SEK,SE8902LKRM96767797463197,Sweden
SE8902EHTU59069815598850,6439.51,Sweden,Unknown,63,2025-02-07 10:07:00,SEK,SE8902SHGS62187533607069,Sweden
SE8902ONYK29813236113604,14746.16,Sweden,Insurance payout,64,2025-04-29 20:03:00,SEK,SE8902TGDM09742731733206,Sweden
SE8902EDII68114485236045,20084.10,Sweden,Unknown,65,2025-04-14 00:16:00,SEK,SE8902ZRZI47417483372579,Sweden
SE8902KCJU30225323097413,44792.15,Sweden,Payment for invoice #3868,66,2025-03-05 16:05:00,SEK,SE8902GQAD77323256759071,Sweden
SE8902CAYR28184400854269,42931.79,Sweden,Rent transfer,67,2025-02-19 15:23:00,SEK,SE8902QCUD22504040792723,Sweden
SE8902RYFQ25380828380867,44880.93,Sweden,Loan repayment,68,2025-02-15 19:43:00,SEK,SE8902DOFI01208990186376,Sweden
SE8902WIZV49599148565208,48763.06,Sweden,Salary payment,69,2025-05-05 15:23:00,SEK,SE8902NKXR00859309312215,Sweden
SE8902JNFW68474844339506,31729.97,Sweden,Rent transfer,70,2025-01-14 07:56:00,SEK,SE8902XJXJ66998115817653,Sweden
SE8902TVXK53170573534289,35445.55,Sweden,Tax refund,71,2025-01-28 22:12:00,SEK,SE8902COVG23577172278709,Sweden
SE8902ZMIE92280783818806,15820.08,Sweden,Unknown,72,2025-01-22 14:33:00,SEK,SE8902RNTE90201112878494,Sweden
SE8902VANG86827956202560,15248.21,Sweden,Unknown,73,2025-04-14 23:18:00,SEK,SE8902CTOV92367944039255,Sweden
SE8902YREH60256445948405,9103.16,Sweden,Reimbursement for travel,74,2025-05-16 14:25:00,SEK,SE8902HFSR53083572903940,Sweden
SE8902RYXO33562941610360,47280.74,Sweden,Freelance project payment,75,2025-02-21 23:23:00,SEK,SE8902PZDL59107473276443,Sweden
SE8902WYUG92028275995927,18200.91,Sweden,Subscription fee,76,2025-02-10 05:53:00,SEK,SE8902JFUD24261264737631,Sweden
SE8902PQTC99238321979954,24768.15,Sweden,Loan repayment,77,2025-01-25 13:45:00,SEK,SE8902FALW17606613401607,Sweden
SE8902RFAD93127690350624,16081.79,Sweden,Freelance project payment,78,2025-01-18 22:51:00,SEK,SE8902HCFQ50732586147290,Sweden
SE8902NOXD78517742994470,44206.21,Sweden,Reimbursement for travel,79,2025-03-02 13:23:00,SEK,SE8902AXQM18280403499014,Sweden
SE8902DXER23023951967280,43919.36,Sweden,Gift to family member,80,2025-04-26 12:50:00,SEK,SE8902SRLL43477163490964,Sweden
SE8902FUXQ13611890616632,29204.61,Sweden,Rent transfer,81,2025-05-06 11:05:00,SEK,SE8902UGGW38274485777478,Sweden
SE8902QUFJ50463670043368,22782.07,Sweden,Mobile recharge,82,2023-08-17 09:55:00,SEK,SE8902KKUH06675943754803,Sweden
SE8902IWYC64669423845053,11873.20,Sweden,Subscription fee,83,2025-08-18 12:16:00,SEK,SE8902NVPZ06971021222436,Sweden
SE8902QOLP68576231602784,817.56,Sweden,Consulting fee,84,2025-04-28 11:51:00,SEK,SE8902PZDL59107473276443,Sweden
SE8902DCRG03419581347172,15736.87,Sweden,Salary payment,85,2025-02-03 01:02:00,SEK,SE8902DAYC14364335693782,Sweden
SE8902BWXT39949824641151,41669.15,Sweden,Rent transfer,86,2025-04-26 01:16:00,SEK,SE8902NPMZ64718534936104,Sweden
SE8902SPLA84551710891296,4274.01,Sweden,Rent transfer,87,2025-05-14 20:27:00,SEK,SE8902QLQD50953604363689,Sweden
SE8902TEZZ10595111121627,17138.54,Sweden,Insurance payout,88,2025-03-26 12:09:00,SEK,SE8902EHTP72915274751435,Sweden
SE8902IXLN09147641003463,34387.66,Sweden,Utility bill,89,2025-02-03 11:35:00,SEK,SE8902ORRS48118816092087,Sweden
SE8902OYAH39744900512609,33420.47,Sweden,Loan repayment,90,2025-01-18 21:15:00,SEK,SE8902VJHZ33855900402507,Sweden
SE8902XGBQ65373440284962,17501.72,Sweden,Salary payment,91,2025-04-10 16:54:00,SEK,SE8902QASC32307460643773,Sweden
SE8902JLFC48207582147190,10736.33,Sweden,Mobile recharge,92,2025-04-18 03:11:00,SEK,SE8902DYMK28727836359365,Sweden
SE8902CAYR28184400854269,34574.28,Sweden,Utility bill,93,2025-02-15 01:05:00,SEK,SE8902IDSK51225196610969,Sweden
SE8902WMGQ92121042977797,44238.19,Sweden,Salary payment,94,2025-01-05 18:43:00,SEK,SE8902IXLN09147641003463,Sweden
SE8902RCMP67198715313709,48929.36,Sweden,Insurance payout,95,2025-05-14 12:10:00,SEK,SE8902IFAT25470340151750,Sweden
SE8902CHSI75448480838708,43163.29,Sweden,Tax refund,96,2025-04-19 13:46:00,SEK,SE8902MQQY51782698732487,Sweden
SE8902MSKS70942503348697,46580.17,Sweden,Unknown,97,2025-03-06 06:49:00,SEK,SE8902UIXL22740523863004,Sweden
SE8902EHTU59069815598850,13174.56,Sweden,Tax refund,98,2025-01-31 10:26:00,SEK,SE8902TONI18274393550042,Sweden
SE8902OKGM15362718359701,46922.86,Sweden,Insurance payout,99,2025-04-24 19:02:00,SEK,SE8902AVQC54172602808950,Sweden
SE8902TKNC87869236455689,18168.26,Sweden,Salary payment,100,2025-02-05 02:03:00,SEK,SE8902FHHP30665400671103,Sweden
SE8902AJSV94182461717656,27132.20,Sweden,Mobile recharge,101,2025-04-19 14:49:00,SEK,SE8902EUHG64782205847802,Sweden
SE8902PJBO20718804604298,8714.17,Sweden,Unknown,102,2025-02-23 13:51:00,SEK,SE8902WQDQ90710651633977,Sweden
SE8902YREH60256445948405,35856.71,Sweden,Utility bill,103,2025-01-27 05:56:00,SEK,SE8902WMGQ92121042977797,Sweden
SE8902CMWE25531271390672,18759.86,Sweden,Subscription fee,104,2025-05-07 03:59:00,SEK,SE8902MMZN38846965231738,Sweden
SE8902CKBV64663475183727,42801.13,Sweden,Insurance payout,105,2025-02-24 02:23:00,SEK,SE8902QBZS75980360092144,Sweden
SE8902VSPR33562992730471,21092.74,Sweden,Subscription fee,106,2025-03-14 20:21:00,SEK,SE8902BADO65968898453667,Sweden
SE8902DRXY50176432565193,9053.36,Sweden,Tax refund,107,2025-01-05 14:01:00,SEK,SE8902QVRD43136737091818,Sweden
SE8902ZJJI38537368499499,33487.52,Sweden,Payment for invoice #7944,108,2025-02-15 11:20:00,SEK,SE8902RHZS07263432451114,Sweden
SE8902YBUM91649266178467,16581.43,Sweden,Insurance payout,109,2025-01-28 17:20:00,SEK,SE8902RUPP97970833512919,Sweden
SE8902OVSC20334070794606,37681.51,Sweden,Loan repayment,110,2025-01-14 22:38:00,SEK,SE8902OFTJ79383582820961,Sweden
SE8902OJZV87378441905395,4643.18,Sweden,Mobile recharge,111,2025-03-14 07:03:00,SEK,SE8902KLNQ25617997709976,Sweden
SE8902CUOA55859966187343,25285.12,Sweden,Tax refund,112,2025-01-07 19:27:00,SEK,SE8902VDAM04395711962652,Sweden
SE8902ORRS48118816092087,14755.23,Sweden,Salary payment,113,2025-01-03 14:36:00,SEK,SE8902EZER13441070597944,Sweden
SE8902SJTM65462604716724,44084.47,Sweden,Gift to family member,114,2025-03-24 13:30:00,SEK,SE8902MINV17334030266764,Sweden
SE8902CFVV30512683866714,31582.56,Sweden,Subscription fee,115,2025-02-17 09:04:00,SEK,SE8902DJPX89629848207656,Sweden
SE8902IDSK51225196610969,12777.19,Sweden,Tax refund,116,2025-05-06 21:13:00,SEK,SE8902YFAI41572077231677,Sweden
SE8902UWHJ79819805055119,36411.02,Sweden,Loan repayment,117,2025-01-25 12:03:00,SEK,SE8902YHDH95624192716829,Sweden
SE8902XPHQ15953762308017,2285.64,Sweden,Insurance payout,118,2025-05-12 09:51:00,SEK,SE8902BADP38378986803145,Sweden
SE8902ANWR22887008474492,20453.90,Sweden,Reimbursement for travel,119,2025-01-16 18:25:00,SEK,SE8902LDPN73303918695424,Sweden
SE8902XIIY68366812613028,18824.68,Sweden,Gift to family member,120,2025-04-22 15:30:00,SEK,SE8902ZVUC22763571961124,Sweden
SE8902PQQA91803707968793,27304.29,Sweden,Subscription fee,121,2025-04-03 19:04:00,SEK,SE8902NCHQ05383241398951,Sweden
SE8902PFUA65955298845159,36163.65,Sweden,Subscription fee,122,2025-03-28 05:02:00,SEK,SE8902IWUZ21139031383602,Sweden
SE8902CUOA55859966187343,37938.45,Sweden,Insurance payout,123,2025-03-29 17:01:00,SEK,SE8902SBKV17928186427622,Sweden
SE8902GSZH91391621188990,31662.73,Sweden,Reimbursement for travel,124,2025-02-17 15:52:00,SEK,SE8902GGWE97497502378359,Sweden
SE8902SMBI03438185868162,34726.16,Sweden,Payment for invoice #8411,125,2025-02-03 18:20:00,SEK,SE8902WJJF53894909945600,Sweden
SE8902ROXJ87709608865856,22056.79,Sweden,Online purchase,126,2025-01-12 23:11:00,SEK,SE8902DRNW01025820075953,Sweden
SE8902OUGZ49389646387563,1226.45,Sweden,Subscription fee,127,2025-01-25 12:05:00,SEK,SE8902GSZH91391621188990,Sweden
SE8902NNNO44225102810397,18718.01,Sweden,Mobile recharge,128,2025-01-12 15:52:00,SEK,SE8902XXCG81260198384509,Sweden
SE8902QPHE36884244476446,12190.77,Sweden,Insurance payout,129,2025-04-16 10:38:00,SEK,SE8902BUFN52320844378385,Sweden
SE8902QRLT89568280421783,28852.35,Sweden,Consulting fee,130,2025-02-28 03:20:00,SEK,SE8902BXJC93392072105707,Sweden
SE8902YQXU56366715188424,49057.47,Sweden,Unknown,131,2025-05-11 11:08:00,SEK,SE8902UZYG74951512780315,Sweden
SE8902YHDH95624192716829,22077.24,Sweden,Consulting fee,132,2025-04-30 04:41:00,SEK,SE8902LUYC21483942556730,Sweden
SE8902MJJU05220306140238,7575.67,Sweden,Reimbursement for travel,133,2025-04-14 03:20:00,SEK,SE8902MLNA56994057710583,Sweden
SE8902BFKJ67373461094245,40677.12,Sweden,Salary payment,134,2025-01-26 10:04:00,SEK,SE8902VVUL13283946661384,Sweden
SE8902BCGB09402639721004,36990.25,Sweden,Tax refund,135,2025-04-17 03:36:00,SEK,SE8902SJTM65462604716724,Sweden
SE8902EUXF81891691396825,20229.57,Sweden,Gift to family member,136,2025-03-24 07:00:00,SEK,SE8902AUQD67157033620100,Sweden
SE8902XJXJ66998115817653,11914.43,Sweden,Reimbursement for travel,137,2025-02-10 15:30:00,SEK,SE8902QRLT89568280421783,Sweden
SE8902BRIL75914384755151,18080.54,Sweden,Salary payment,138,2025-05-06 23:24:00,SEK,SE8902UYWH41914146129072,Sweden
SE8902MLNA56994057710583,7749.58,Sweden,Gift to family member,139,2025-01-15 19:54:00,SEK,SE8902QYWM08226326615443,Sweden
SE8902DQLW24559347520043,46476.89,Sweden,Mobile recharge,140,2025-05-13 07:33:00,SEK,SE8902BWKM27720380863718,Sweden
SE8902XJAN35723200835220,38389.32,Sweden,Salary payment,141,2025-02-22 19:20:00,SEK,SE8902SIKL89762687070372,Sweden
SE8902MTEW80340871788369,29331.47,Sweden,Mobile recharge,142,2025-01-12 20:49:00,SEK,SE8902VLZY43895735167710,Sweden
SE8902BADP38378986803145,24584.50,Sweden,Payment for invoice #6758,143,2025-02-10 23:42:00,SEK,SE8902PFYI37989903515742,Sweden
SE8902EQYQ41081582080415,37236.21,Sweden,Gift to family member,144,2025-05-03 14:15:00,SEK,SE8902NFEX92122769382579,Sweden
SE8902SHGS62187533607069,30490.13,Sweden,Utility bill,145,2025-05-13 20:14:00,SEK,SE8902MCEV93618355713025,Sweden
SE8902QPGW46075376024266,17688.24,Sweden,Salary payment,146,2025-05-09 10:03:00,SEK,SE8902NZPO70353430427963,Sweden
SE8902QLYH24628869288269,29921.81,Sweden,Reimbursement for travel,147,2025-01-11 19:07:00,SEK,SE8902BXJC93392072105707,Sweden
SE8902JPPD16064860435781,42420.09,Sweden,Payment for invoice #6526,148,2025-01-28 17:53:00,SEK,SE8902CWGG49250440286257,Sweden
SE8902KQTT53706765844553,5443.76,Sweden,Loan repayment,149,2025-03-19 05:17:00,SEK,SE8902TJON16189488376725,Sweden
SE8902YMWM67923221263529,34472.36,Sweden,Rent transfer,150,2025-02-18 14:17:00,SEK,SE8902XJXO24323243710044,Sweden
SE8902TMSX38474464548691,7681.49,Sweden,Freelance project payment,151,2025-01-03 01:27:00,SEK,SE8902BRIL75914384755151,Sweden
SE8902HCFQ50732586147290,2074.92,Sweden,Mobile recharge,152,2025-01-22 07:32:00,SEK,SE8902IQGU69949540367787,Sweden
SE8902ABOS54302823852209,42674.34,Sweden,Payment for invoice #9177,153,2025-03-18 12:10:00,SEK,SE8902DOSN50610060091936,Sweden
SE8902YMVD57211621327275,39620.15,Sweden,Subscription fee,154,2025-03-18 09:12:00,SEK,SE8902QOLP68576231602784,Sweden
SE8902TSLW64629501935121,47782.90,Sweden,Insurance payout,155,2025-02-20 20:24:00,SEK,SE8902LDPN73303918695424,Sweden
SE8902IDYW61560887680926,28195.82,Sweden,Utility bill,156,2025-04-08 09:24:00,SEK,SE8902SVEX40095531093926,Sweden
SE8902ZWKS28095257338274,13840.47,Sweden,Salary payment,157,2025-03-28 06:52:00,SEK,SE8902OZOM23207181936410,Sweden
SE8902PRHA61506657906077,46268.26,Sweden,Rent transfer,158,2025-04-10 22:43:00,SEK,SE8902FWCH71102712794153,Sweden
SE8902FUAR93924916890637,43996.04,Sweden,Gift to family member,159,2025-02-02 21:28:00,SEK,SE8902GSWE68166162519198,Sweden
SE8902KLES25420753966546,22838.64,Sweden,Consulting fee,160,2025-02-27 15:36:00,SEK,SE8902LQPT91446488103734,Sweden
SE8902EUHG64782205847802,25870.33,Sweden,Tax refund,161,2025-05-07 22:20:00,SEK,SE8902FKYE96295585801229,Sweden
SE8902YIGY15689375176219,23716.44,Sweden,Consulting fee,162,2025-02-17 12:40:00,SEK,SE8902FBTR73223116722714,Sweden
SE8902PQTC99238321979954,5192.29,Sweden,Utility bill,163,2025-03-27 14:30:00,SEK,SE8902KLCO29429723379486,Sweden
SE8902IDIO78110702344946,28595.50,Sweden,Reimbursement for travel,164,2025-03-04 05:26:00,SEK,SE8902SPOT75366803801987,Sweden
SE8902WCIT71011280885223,39542.61,Sweden,Rent transfer,165,2025-01-18 22:34:00,SEK,SE8902OGIR23428207822800,Sweden
SE8902KASG36290465086408,26061.28,Sweden,Subscription fee,166,2025-05-11 23:59:00,SEK,SE8902HRZI51889347255465,Sweden
SE8902MRZJ54641003814611,33363.26,Sweden,Reimbursement for travel,167,2025-02-24 14:00:00,SEK,SE8902UPMV66415672183575,Sweden
SE8902VDAM04395711962652,9190.87,Sweden,Consulting fee,168,2025-03-05 23:07:00,SEK,SE8902OYYC26878073615803,Sweden
SE8902MJPO40977388006286,10384.20,Sweden,Online purchase,169,2025-04-14 11:57:00,SEK,SE8902REPT13055923984909,Sweden
SE8902WZTY78877140572268,27192.61,Sweden,Payment for invoice #7221,170,2025-02-09 04:21:00,SEK,SE8902PUFG51102457949170,Sweden
SE8902GBSN65881879746261,5197.84,Sweden,Mobile recharge,171,2025-01-29 04:07:00,SEK,SE8902HAHX05192939117708,Sweden
SE8902NDNE36671961231780,6701.83,Sweden,Salary payment,172,2025-03-24 11:15:00,SEK,SE8902QBZS75980360092144,Sweden
SE8902RMZQ99119231760140,48778.62,Sweden,Tax refund,173,2025-01-14 12:36:00,SEK,SE8902OETG93189334327881,Sweden
SE8902VBHN50052224387585,22881.48,Sweden,Loan repayment,174,2025-04-07 15:17:00,SEK,SE8902CRCW34066239004922,Sweden
SE8902SPLA84551710891296,34957.77,Sweden,Insurance payout,175,2025-05-01 22:09:00,SEK,SE8902FOXC84791598609467,Sweden
SE8902YBIX02378701637177,4105.92,Sweden,Freelance project payment,176,2025-01-27 01:43:00,SEK,SE8902THMG75207589410634,Sweden
SE8902LNMM65005427787530,42458.54,Sweden,Unknown,177,2025-04-08 06:57:00,SEK,SE8902MLNA56994057710583,Sweden
SE8902ECCJ86383227351359,2773.55,Sweden,Consulting fee,178,2025-04-12 16:09:00,SEK,SE8902XJXJ66998115817653,Sweden
SE8902AFOU10164539916013,36669.99,Sweden,Reimbursement for travel,179,2025-03-01 23:20:00,SEK,SE8902RQLR53927445231063,Sweden
SE8902ZRZI47417483372579,32588.84,Sweden,Rent transfer,180,2025-02-11 10:49:00,SEK,SE8902PBJH90393502972632,Sweden
SE8902HNLH30212836252481,16777.81,Sweden,Subscription fee,181,2025-03-22 05:47:00,SEK,SE8902YANL80406594542262,Sweden
SE8902TNEQ21759041931830,41331.13,Sweden,Insurance payout,182,2025-01-01 09:56:00,SEK,SE8902EUHG64782205847802,Sweden
SE8902OBNT50973876422839,26711.19,Sweden,Freelance project payment,183,2025-02-09 21:13:00,SEK,SE8902NBIZ83446887518068,Sweden
SE8902RMLX84077931088026,36577.48,Sweden,Loan repayment,184,2025-03-01 12:42:00,SEK,SE8902LJOL22570334014589,Sweden
SE8902JBML23966854830022,37252.68,Sweden,Rent transfer,185,2025-03-11 19:41:00,SEK,SE8902LYWY52207782370009,Sweden
SE8902ERJA13877835143324,9593.38,Sweden,Payment for invoice #8258,186,2025-03-07 02:09:00,SEK,SE8902ARJI52424267786590,Sweden
SE8902GSZH91391621188990,1174.46,Sweden,Subscription fee,187,2025-05-02 20:02:00,SEK,SE8902AHHW25831609187762,Sweden
SE8902JPPD16064860435781,15416.59,Sweden,Consulting fee,188,2025-02-23 16:20:00,SEK,SE8902UOQA63786044169527,Sweden
SE8902RLXE45562764852432,40031.65,Sweden,Unknown,189,2025-02-04 12:34:00,SEK,SE8902WQDQ90710651633977,Sweden
SE8902PQTC99238321979954,46000.59,Sweden,Online purchase,190,2025-01-31 16:29:00,SEK,SE8902OUGZ49389646387563,Sweden
SE8902ETCY90517906060184,49611.76,Sweden,Reimbursement for travel,191,2025-03-17 00:25:00,SEK,SE8902YWQH50779746486712,Sweden
SE8902EPWK73250364544965,39486.77,Sweden,Mobile recharge,192,2025-02-02 23:42:00,SEK,SE8902IXLN09147641003463,Sweden
SE8902YPLL97549313922893,43799.87,Sweden,Insurance payout,193,2025-01-15 20:25:00,SEK,SE8902LLGR94243337164385,Sweden
SE8902QBPI92232356394837,16802.77,Sweden,Online purchase,194,2025-03-05 17:39:00,SEK,SE8902IDSK51225196610969,Sweden
SE8902WFUC02168045258799,31452.09,Sweden,Subscription fee,195,2025-01-18 06:24:00,SEK,SE8902CKLN78195298715336,Sweden
SE8902QBZS75980360092144,20900.91,Sweden,Mobile recharge,196,2025-04-10 13:05:00,SEK,SE8902QBPI92232356394837,Sweden
SE8902UUHR56831431647978,19184.12,Sweden,Consulting fee,197,2025-04-24 18:57:00,SEK,SE8902XYVB77684435420465,Sweden
SE8902YERF08265652105112,28794.91,Sweden,Mobile recharge,198,2025-03-14 17:10:00,SEK,SE8902JIRN62314882418604,Sweden
SE8902BRIL75914384755151,25719.76,Sweden,Rent transfer,199,2025-03-30 20:15:00,SEK,SE8902JNFW68474844339506,Sweden
SE8902FCSV26977507325534,38702.78,Sweden,Salary payment,200,2025-02-05 02:26:00,SEK,SE8902RBSV68895772780848,Sweden
SE8902KASG36290465086408,38983.96,Sweden,Freelance project payment,201,2025-03-20 01:34:00,SEK,SE8902RYXO33562941610360,Sweden
