account_iban,reason,amount,sender_country,receiver_country
SE8902HQID54921038055598,outgoing,27117.53,Sweden,
GB42QTTR07621951221751,incoming,41839.42,Zambia,Sweden
GB98KARP25147756870106,outgoing,36478.1,Hungary,Sweden
SE8902KPIO16227949467449,outgoing,27128.34,Sweden,Estonia
GB83HEVQ89225120599667,incoming,17063.74,Suriname,Sweden
GB16CMTX02673798664114,outgoing,44469.24,Sri Lanka,Sweden
SE8902OFTJ79383582820961,incoming,48967.74,Sweden,Monaco
SE8902RLXE45562764852432,incoming,45839.75,Sweden,Norway
GB28EGVH15272425720366,incoming,49267.57,Cape Verde,Sweden
GB45CESA88428391763733,incoming,4324.76,Finland,Sweden
GB88VKAK77330134153197,outgoing,40728.22,Norway,Sweden
GB28LZHC12623927512860,outgoing,48523.11,Albania,Sweden
GB75YNJW45680952650731,outgoing,28634.41,Sri Lanka,Sweden
SE8902MDRR93436036363613,incoming,36568.36,Sweden,Rwanda
GB11SSQT40770567899649,incoming,11395.53,Germany,Sweden
SE8902JXNJ08943900596647,incoming,47983.02,Sweden,Finland
GB40DDPD97331167975880,outgoing,568.16,Denmark,Sweden
GB74TEMW29950782471399,outgoing,31267.67,Tunisia,Sweden
SE8902YZWZ87858217066053,outgoing,16091.35,Sweden,Saint Vincent and the Grenadines
SE8902EWZR85142291879165,outgoing,34377.62,Sweden,Colombia
SE8902YIGY15689375176219,incoming,642.92,Sweden,China
SE8902FPRI18674591891178,incoming,45490.58,Sweden,Denmark
GB07EWFI70102849438010,outgoing,506.49,Poland,Sweden
GB90QCCJ20266950698403,incoming,24168.18,Estonia,Sweden
SE8902EJYN15169896233918,incoming,15180.43,Sweden,Denmark
GB57NGTB05381573368174,outgoing,36517.44,Spain,Sweden
GB95VXBU05386146012044,outgoing,10788.74,Guadeloupe,Sweden
SE8902KJYB05100798381483,outgoing,27759.89,Sweden,Vanuatu
GB71QMJZ90847741897212,outgoing,33991.88,Malaysia,Sweden
GB25CXBZ54633705706673,outgoing,11056.05,Trinidad and Tobago,Sweden
GB53SXIO90893038832217,incoming,36640.39,Honduras,Sweden
SE8902ZJBK03539793529686,outgoing,33176.73,Sweden,Azerbaijan
GB53QULE96348267323355,outgoing,26185.75,Norway,Sweden
GB71ZHBA09020271771601,incoming,8335.85,San Marino,Sweden
GB69DTWB55933780420804,incoming,24404.48,Puerto Rico,Sweden
SE8902UGUU35326815762231,outgoing,28721.9,Sweden,Bhutan
SE8902RMGJ56941789044857,incoming,18138.82,Sweden,American Samoa
SE8902NKXR00859309312215,incoming,4479.49,Sweden,El Salvador
SE8902SJVO55654185313291,incoming,24618.0,Sweden,Norway
SE8902SVQW25123995841385,outgoing,6870.24,Sweden,Poland
SE8902BSOB17404569244252,outgoing,40027.82,Sweden,Tokelau
SE8902MORC95963771559704,incoming,11681.11,Sweden,Estonia
GB92PWRH06076279337381,outgoing,34853.64,Chile,Sweden
SE8902WQME16820619653293,incoming,30334.49,Sweden,Sri Lanka
SE8902LLGR94243337164385,outgoing,39120.93,Sweden,Norway
GB04RNGI02009024353201,outgoing,8955.94,Germany,Sweden
GB35ZIXY04376679927947,incoming,48348.63,Poland,Sweden
GB54MCKX77829614397386,incoming,13782.83,Belarus,Sweden
GB27ZUOR80078248451415,incoming,47229.03,Germany,Sweden
GB33XOJU37375627438516,outgoing,2644.41,Canada,Sweden
SE8902VXSM52634787408878,incoming,18933.03,Sweden,United States of America
SE8902XNSP62301861969649,outgoing,31457.95,Sweden,Bahamas
GB84QUIY54519333739250,incoming,26493.4,Trinidad and Tobago,Sweden
GB37RUSI35785640516191,incoming,14419.3,India,Sweden
GB51KXIS18898845535294,outgoing,36796.29,India,Sweden
GB34JCHV14288600159831,outgoing,2522.1,Vietnam,Sweden
SE8902MIDF11176460973267,outgoing,28257.54,Sweden,United Kingdom
GB70IYQF54390520707665,outgoing,17760.91,Qatar,Sweden
SE8902IRXN70281866292484,incoming,12530.39,Sweden,Marshall Islands
SE8902LEVI44801863486814,incoming,12152.9,Sweden,Estonia
SE8902NNNR28386574821422,incoming,9122.85,Sweden,San Marino
SE8902FUJI48043244293392,outgoing,10751.98,Sweden,Norway
SE8902PLTU47854504283727,outgoing,49222.3,Sweden,Armenia
SE8902MKGL15508437601995,outgoing,43519.0,Sweden,Finland
SE8902NEKM17238713453074,incoming,30230.93,Sweden,Jersey
GB95YTFI00978624539572,outgoing,32187.01,Denmark,Sweden
GB11IJZY93042483913669,outgoing,20323.88,Romania,Sweden
GB46SGBQ50481237112275,outgoing,41157.77,Romania,Sweden
SE8902PQQA91803707968793,outgoing,7589.54,Sweden,Ghana
GB37MDAI98920936211289,incoming,29074.3,Poland,Sweden
GB08CVOW47267250348924,incoming,34343.72,Poland,Sweden
SE8902RTPP26534696624492,outgoing,2716.66,Sweden,Falkland Islands (Malvinas)
SE8902XYWW06047880682425,outgoing,14546.0,Sweden,Costa Rica
GB57GJKG30404145048047,outgoing,11336.56,Island,Sweden
GB93OTGU80529313914517,outgoing,29472.18,Togo,Sweden
GB39HVSH65367422637200,outgoing,14456.25,Afghanistan,Sweden
SE8902OCQK11725418237602,outgoing,15382.77,Sweden,Djibouti
SE8902ZZNR41237043450267,incoming,33128.22,Sweden,Poland
SE8902RXQC04091454093931,outgoing,14034.58,Sweden,Angola
SE8902SBKV17928186427622,outgoing,13133.58,Sweden,Togo
GB77YXRL91101717532682,outgoing,33774.05,Egypt,Sweden
SE8902YLGE04073464233597,incoming,10167.94,Sweden,Afghanistan
GB26AFOD58517148207723,incoming,29708.91,Malta,Sweden
SE8902QQEM64469622591152,incoming,15707.76,Sweden,Ghana
SE8902XCHA19919213751955,incoming,20816.29,Sweden,Belarus
SE8902QBZS75980360092144,outgoing,36331.87,Sweden,Honduras
GB73RQBV75981940106165,outgoing,5811.01,Island,Sweden
GB89QQKW52427973339386,outgoing,46138.94,Cambodia,Sweden
GB07TOSJ31057870889761,incoming,35494.78,Poland,Sweden
GB49DXND85215812472602,incoming,12595.07,United States of America,Sweden
GB32VDBG27240065237285,incoming,19883.3,Estonia,Sweden
GB30ZLGE40548291776445,outgoing,35577.47,Austria,Sweden
GB60MYEY93712591621956,incoming,42492.1,Tajikistan,Sweden
GB92MUXA36020532338237,outgoing,20057.49,Kiribati,Sweden
GB05SQSL54989047103648,outgoing,45372.94,Island,Sweden
GB36HEFX03782893804633,outgoing,24612.19,Taiwan,Sweden
GB59CSBJ09456127423932,outgoing,41766.85,Bahamas,Sweden
GB48DMEI23906018315662,incoming,13925.15,Iran,Sweden
SE8902NUWT16017828621340,incoming,35533.5,Sweden,Oman
SE8902DXER23023951967280,outgoing,18406.94,Sweden,Croatia
SE8902WIZV49599148565208,incoming,19286.97,Sweden,Seychelles
SE8902YBUM91649266178467,outgoing,23516.99,Sweden,Norway
GB54BZWX19980497946119,outgoing,11398.62,Albania,Sweden
SE8902WWYX14350160073945,outgoing,42288.45,Sweden,United States of America
GB35IRGH54101384683548,outgoing,45046.65,Finland,Sweden
SE8902SUPU22107368286746,outgoing,1470.02,Sweden,Eritrea
GB83SHJQ72770931807987,incoming,34919.41,Martinique,Sweden
GB15TZEM86674851876220,outgoing,20284.42,Nepal,Sweden
SE8902ZAWM87891339334132,incoming,9743.46,Sweden,Island
GB20OZRF98835650257717,outgoing,5312.61,United Arab Emirates,Sweden
SE8902XCHA19919213751955,incoming,46976.74,Sweden,Ethiopia
GB19XGYJ49589914323307,outgoing,35790.47,Germany,Sweden
SE8902ZUOU40396545889546,incoming,21060.21,Sweden,Georgia
GB37RTRE83659860748014,outgoing,2944.85,Norway,Sweden
SE8902PCFD04141042982858,incoming,18463.45,Sweden,Ecuador
GB67SYAI93974275491938,outgoing,32420.66,Estonia,Sweden
SE8902NOXD78517742994470,outgoing,20292.05,Sweden,Bangladesh
SE8902ZPHS02086856755015,outgoing,45978.28,Sweden,Denmark
SE8902UUHR56831431647978,incoming,13836.4,Sweden,Island
SE8902TAHI51097798630045,incoming,19861.71,Sweden,Poland
GB53WQTN46601234739330,incoming,37202.13,Denmark,Sweden
SE8902VBXW33852287376238,outgoing,28004.83,Sweden,Zambia
GB79YPLJ17383679698045,outgoing,35423.84,Isle of Man,Sweden
GB67MQDV27959785470419,outgoing,22498.26,Ecuador,Sweden
GB36LOSS37108947969138,incoming,18714.44,Belize,Sweden
SE8902YOEW30639718787528,outgoing,20617.11,Sweden,Germany
SE8902MERM08934535145689,incoming,15045.87,Sweden,Libyan Arab Jamahiriya
GB22OGLN67964502544205,outgoing,44987.62,Madagascar,Sweden
GB29CIBK57020178450809,outgoing,47854.67,Montserrat,Sweden
GB25TQSG06344253231470,incoming,46.31,Finland,Sweden
GB04ZJYC88103686296638,incoming,26510.7,Island,Sweden
SE8902MQKC26955141529313,incoming,13883.15,Sweden,Finland
SE8902XWUV40935991476872,outgoing,11975.37,Sweden,Costa Rica
SE8902UTYY22254486734176,outgoing,388.85,Sweden,Wallis and Futuna
GB46XSLJ32149835076274,incoming,17747.44,Congo,Sweden
SE8902YFAI41572077231677,outgoing,31966.11,Sweden,Germany
GB40VWBN22929745360383,incoming,24710.62,Uganda,Sweden
GB34QGHU15536947245441,incoming,21400.97,Finland,Sweden
SE8902YKLA01358484410445,outgoing,13346.86,Sweden,Germany
SE8902XYWW06047880682425,incoming,7155.28,Sweden,Island
SE8902RHZS07263432451114,outgoing,19368.46,Sweden,Australia
SE8902UJGR36411837401781,incoming,39344.51,Sweden,Serbia
SE8902OVTP75889092553957,incoming,5286.43,Sweden,Finland
SE8902ZKJC38755928645078,incoming,41393.61,Sweden,Ireland
GB09TDJC81807051712601,incoming,18187.43,Faroe Islands,Sweden
SE8902VQDV44258038827151,incoming,34421.93,Sweden,Poland
SE8902KSGB25510595835295,outgoing,2723.99,Sweden,Denmark
SE8902WJJF53894909945600,incoming,1933.63,Sweden,Macao
SE8902DGRO18476288845448,outgoing,49309.31,Sweden,Estonia
SE8902GFAS09862022036004,outgoing,42293.75,Sweden,Germany
SE8902KMID87590796935719,outgoing,34909.22,Sweden,Denmark
SE8902ZECH07329184737257,outgoing,4230.42,Sweden,Djibouti
SE8902ALWE64418794375241,outgoing,44341.61,Sweden,Georgia
SE8902UJGR36411837401781,outgoing,24357.08,Sweden,Honduras
GB83PLRK56308576752285,incoming,33443.5,Island,Sweden
SE8902TEZZ10595111121627,outgoing,24124.1,Sweden,Somalia
GB55TBYQ54536402970550,incoming,30746.82,Anguilla,Sweden
GB37UIVJ72432579359044,outgoing,8929.15,Denmark,Sweden
SE8902SXSV66139578019742,outgoing,29797.59,Sweden,Estonia
SE8902WEPX09489049975102,incoming,48482.99,Sweden,Gambia
SE8902TVXK53170573534289,incoming,38822.52,Sweden,Denmark
SE8902GTZD12314857392944,incoming,13152.87,Sweden,Tajikistan
GB42KIEV70123018217269,incoming,27215.43,Haiti,Sweden
GB88LGLW97485390075666,incoming,47652.97,Guyana,Sweden
SE8902LUGA16653984392162,incoming,16616.18,Sweden,Palestinian Territory
SE8902IDYW61560887680926,outgoing,26329.83,Sweden,Nauru
SE8902DCRG03419581347172,outgoing,13201.26,Sweden,Norway
SE8902SSZA54290319483676,outgoing,33039.76,Sweden,Germany
SE8902LIKB41550652178852,incoming,28379.52,Sweden,Denmark
SE8902IJBW38904188628765,outgoing,41303.37,Sweden,Kazakhstan
GB76BDLT67591422189500,outgoing,17532.17,Malta,Sweden
SE8902XFGN05965642065136,outgoing,3412.76,Sweden,Denmark
SE8902JWPZ44810854846338,incoming,26120.52,Sweden,Albania
SE8902AMRJ75051497335013,outgoing,32428.69,Sweden,China
SE8902EDII68114485236045,outgoing,49980.38,Sweden,Island
SE8902TTRQ67764510281897,outgoing,32158.66,Sweden,Niue
GB11SUXI58438077984736,outgoing,77.28,Finland,Sweden
GB17UEJR16866191580536,incoming,8164.06,Micronesia,Sweden
SE8902WMGQ92121042977797,incoming,7607.64,Sweden,Uganda
GB22DPLI56451728372159,incoming,4684.88,Norfolk Island,Sweden
SE8902UZPG07009538779616,incoming,1310.59,Sweden,Kiribati
GB39GYUJ30126613230671,incoming,36177.39,North Macedonia,Sweden
GB78LLGX50959071422130,incoming,29240.12,Poland,Sweden
GB64QNVY66016737667518,incoming,23109.12,Germany,Sweden
GB64TRCW33771211409216,incoming,32082.35,Poland,Sweden
GB93UDVL72965343283284,outgoing,38917.11,Reunion,Sweden
SE8902IMDH11855815032434,incoming,4805.14,Sweden,Germany
GB40LJIG13070988452523,incoming,15035.17,Denmark,Sweden
SE8902AQCO44387324377348,incoming,4435.91,Sweden,Spain
GB93XPSJ04010938785057,incoming,39034.28,Finland,Sweden
GB14FZHX77794410714533,incoming,46034.63,Cyprus,Sweden
SE8902WPAU97779463181066,incoming,39969.78,Sweden,Saudi Arabia
SE8902JVFU12272732120946,outgoing,43699.86,Sweden,Germany
GB55MNFX81384894626975,incoming,46919.51,Cayman Islands,Sweden
GB08NXDE34078285641472,incoming,31254.75,Guatemala,Sweden
SE8902IGWD35040860470840,outgoing,26783.88,Sweden,Norfolk Island
SE8902BRIL75914384755151,incoming,42738.85,Sweden,Falkland Islands (Malvinas)
GB61PJUY23534042472710,outgoing,5436.76,Germany,Sweden
SE8902ASTS23624054451805,incoming,18481.59,Sweden,Philippines
SE8902KWSP63038857977275,outgoing,9813.5,Sweden,Island
GB32DSZY15592398585973,outgoing,16507.81,Island,Sweden
GB90TDNO61021929227531,outgoing,28183.18,Estonia,Sweden
SE8902RYJW27814189025495,incoming,25320.85,Sweden,Ghana
GB90WJAS31910003511641,incoming,36972.2,Cocos (Keeling) Islands,Sweden
SE8902SPMV06240825225975,outgoing,12792.84,Sweden,Estonia
SE8902NOXD78517742994470,incoming,13743.13,Sweden,Azerbaijan
GB09VRNQ80757704079940,outgoing,38013.6,Bermuda,Sweden
SE8902DNVY67349092911659,outgoing,38594.09,Sweden,South Georgia and the South Sandwich Islands
GB24VFQW11938976451299,incoming,5169.87,Mozambique,Sweden
GB19DPFM96688008057290,outgoing,21977.14,Estonia,Sweden
SE8902RDOL83252725715066,incoming,41154.41,Sweden,Estonia
GB59SWZV54462302319403,incoming,27256.82,Denmark,Sweden
GB22ZJDS96554100970812,outgoing,8918.3,Brunei Darussalam,Sweden
SE8902MIDF11176460973267,incoming,49829.69,Sweden,New Zealand
GB11LYHJ46949242293652,incoming,16295.33,Island,Sweden
GB42QSZD41770110466974,incoming,20299.51,Island,Sweden
GB67SQHC06489905890863,outgoing,32336.56,Germany,Sweden
SE8902RLHG01713064216795,incoming,436.81,Sweden,French Polynesia
GB32VVFG41778206520514,outgoing,40766.87,Germany,Sweden
GB57RZKQ81434238295774,outgoing,3594.05,Georgia,Sweden
GB82LRYF31259530924830,outgoing,22147.63,Palestinian Territory,Sweden
SE8902JXJJ56306612147768,incoming,5958.47,Sweden,Estonia
GB59FUHK77208687910244,incoming,12523.65,Sri Lanka,Sweden
SE8902RLHG01713064216795,incoming,16344.62,Sweden,Myanmar
GB53CFKT00038297704908,incoming,45981.33,Mayotte,Sweden
GB82ZCKI94244825516092,incoming,10163.02,Norway,Sweden
GB74CZAD65541599330974,incoming,48114.73,Slovenia,Sweden
GB38LZNM92930137840710,outgoing,2137.44,Uganda,Sweden
GB92IHCM55779477034363,outgoing,34332.02,Botswana,Sweden
SE8902QVLD06706916367921,incoming,9336.91,Sweden,Pakistan
SE8902KSGB25510595835295,incoming,14785.23,Sweden,Ecuador
SE8902FCSV26977507325534,outgoing,10201.22,Sweden,Grenada
SE8902RDOL83252725715066,outgoing,21266.71,Sweden,Monaco
SE8902ZFFS54641169742438,incoming,37948.14,Sweden,Finland
